Year,Team,Matches,BowlingEconomy,WicketsPerOver,TotalWickets,WicketsPerMatch,Innings,NotOuts,Runs ,HighScore ,AverageOfRunsScored,BallsFaced,StrikeRate,100s,50s,4s,6s
2016,Rising Pune Supergiants,14,8.063393893,0.270583688,70,5,7,2,161.25,45.63636364,138.2142857,106.2142857,134.36,0.071428571,0.785714286,12.21428571,4.857142857
2016,Royal Challengers Bangalore,16,8.652505808,0.295386658,89,5.5625,8.454545455,2.181818182,258.5454545,55.09090909,177.75,115.625,152.7781818,0.3125,1.1875,14.875,8.875
2016,Sunrisers Hyderabad,17,7.871287129,0.272277228,88,5.176470588,9.307692308,2,195.0769231,43.61538462,149.1764706,115.1176471,137.54,0,0.882352941,13.52941176,5.235294118
2015,Chennai Super Kings,17,7.679375563,0.312218553,104,6.117647059,11.81818182,2.454545455,232.8181818,50.36363636,150.64,117.3529412,133.4772727,0.058823529,0.588235294,14.64705882,5.647058824
2015,Delhi Daredevils,14,7.79340836,0.289389068,72,5.142857143,8.363636364,2,185.5454545,53.18181818,145.7857143,113,128.6390909,0,1.142857143,13.42857143,6
2015,Kings XI Punjab,14,8.732996502,0.252623397,65,4.642857143,8.066666667,1.266666667,124.8,36.13333333,133.7142857,111.4285714,114.6657143,0,0.357142857,10.14285714,5.642857143
2015,Kolkata Knight Riders,14,8.172302738,0.281803543,70,5,8.818181818,2,174.7272727,42.54545455,137.2857143,100,148.7045455,0,0.571428571,14.64285714,4.571428571
2015,Mumbai Indians,16,8.519820972,0.274936061,86,5.375,8.615384615,2.076923077,200.3076923,50.15384615,162.75,117,139.5584615,0,1.1875,15.0625,7.5
2015,Rajasthan Royals,14,8.442593263,0.228178196,63,4.5,9.5,2,202.3,57.2,144.5,108.8571429,136.112,0.071428571,0.714285714,13.28571429,4.642857143
2015,Royal Challengers Bangalore,16,8.309422257,0.356727414,92,5.75,6.8,1.666666667,145.2666667,40.26666667,136.1875,94.125,135.1986667,0.125,0.5,12.8125,6.5
2015,Sunrisers Hyderabad,14,8.298126744,0.286966919,72,5.142857143,7.357142857,1.642857143,151,38.07142857,151,115.3571429,127.5471429,0,0.928571429,13.21428571,5.642857143
2014,Chennai Super Kings,16,8.206044849,0.292492688,90,5.625,9.9,2.9,251.8,46.9,157.35,116.6875,145.603,0,1.0625,12.8125,7
2014,Delhi Daredevils,14,8.463385354,0.204081633,51,3.642857143,7.538461538,1.384615385,151,35.6,140.2142857,114.4285714,111.7953846,0,0.571428571,12.64285714,4.5
2014,Kings XI Punjab,17,8.298579631,0.314294349,104,6.117647059,9.916666667,2.25,234.5833333,57.25,165.5882353,115.7058824,129.4508333,0.117647059,0.647058824,15.35294118,7.470588235
2014,Kolkata Knight Riders,16,7.5213405,0.262409105,83,5.1875,9.727272727,2.363636364,214.2727273,52.45454545,147.3125,111.875,131.7754545,0,0.8125,13.9375,4.75
2014,Mumbai Indians,15,7.773707774,0.256410256,63,4.2,9,1.916666667,185.5,46.75,148.4,115.4666667,122.845,0.066666667,0.8,13.13333333,5.733333333
2014,Rajasthan Royals,14,7.847014925,0.279850746,75,5.357142857,7.066666667,1.533333333,136.1333333,40.46666667,145.8571429,113.5,130.0706667,0,0.714285714,11.78571429,6.142857143
2014,Royal Challengers Bangalore,14,7.923538231,0.251124438,67,4.785714286,6.8,1.4,132.2,36.33333333,141.6428571,114.7142857,118.694,0,0.642857143,11.71428571,6.571428571
2014,Sunrisers Hyderabad,14,8.150074294,0.256315007,69,4.928571429,7.833333333,1.916666667,161.25,41.66666667,138.2142857,112.2142857,130.2151893,0,0.785714286,11.92857143,5.142857143
