Year,Team,MeasureName,MeasureType,MeasureValue
2016,Kings Xi Punjab,StrikeRate,Batting,141.9771429
2015,Kings Xi Punjab,StrikeRate,Batting,114.6657143
2014,Kings Xi Punjab,StrikeRate,Batting,129.4508333
2019,Kings Xi Punjab,100s,Batting,0.071428571
2018,Kings Xi Punjab,100s,Batting,0.071428571
2017,Kings Xi Punjab,100s,Batting,0.142857143
2016,Kings Xi Punjab,100s,Batting,0
2015,Kings Xi Punjab,100s,Batting,0
2014,Kings Xi Punjab,100s,Batting,0.117647059
2019,Kings Xi Punjab,50s,Batting,1.071428571
2018,Kings Xi Punjab,50s,Batting,0.785714286
2017,Kings Xi Punjab,50s,Batting,0.5
2016,Kings Xi Punjab,50s,Batting,1
2015,Kings Xi Punjab,50s,Batting,0.357142857
2014,Kings Xi Punjab,50s,Batting,0.647058824
2019,Kings Xi Punjab,4s,Batting,14.07142857
2018,Kings Xi Punjab,4s,Batting,11.78571429
2017,Kings Xi Punjab,4s,Batting,13.28571429
2016,Kings Xi Punjab,4s,Batting,13.64285714
2015,Kings Xi Punjab,4s,Batting,10.14285714
2014,Kings Xi Punjab,4s,Batting,15.35294118
2019,Kings Xi Punjab,6s,Batting,7.857142857
2018,Kings Xi Punjab,6s,Batting,7.428571429
2017,Kings Xi Punjab,6s,Batting,6.285714286
2016,Kings Xi Punjab,6s,Batting,3.714285714
2015,Kings Xi Punjab,6s,Batting,5.642857143
2014,Kings Xi Punjab,6s,Batting,7.470588235
2019,Kings Xi Punjab,MatchesWon,Batting,6
2018,Kings Xi Punjab,MatchesWon,Batting,6
2017,Kings Xi Punjab,MatchesWon,Batting,7
2016,Kings Xi Punjab,MatchesWon,Batting,4
2015,Kings Xi Punjab,MatchesWon,Batting,3
2014,Kings Xi Punjab,MatchesWon,Batting,11
2008,Kings Xi Punjab,MatchesWon,Batting,10
2009,Kings Xi Punjab,MatchesWon,Batting,7
2010,Kings Xi Punjab,MatchesWon,Batting,4
2011,Kings Xi Punjab,MatchesWon,Batting,7
2012,Kings Xi Punjab,MatchesWon,Batting,8
2013,Kings Xi Punjab,MatchesWon,Batting,8
2008,Kings Xi Punjab,100s,Batting,0.066666667
2009,Kings Xi Punjab,100s,Batting,0
2010,Kings Xi Punjab,100s,Batting,0.071428571
2011,Kings Xi Punjab,100s,Batting,0.142857143
2012,Kings Xi Punjab,100s,Batting,0
2013,Kings Xi Punjab,100s,Batting,0.0625
2008,Kings Xi Punjab,4s,Batting,15.2
2009,Kings Xi Punjab,4s,Batting,9.928571429
2010,Kings Xi Punjab,4s,Batting,16.28571429
2011,Kings Xi Punjab,4s,Batting,15.5
2012,Kings Xi Punjab,4s,Batting,15.78571429
2013,Kings Xi Punjab,4s,Batting,15.25
2008,Kings Xi Punjab,6s,Batting,6.266666667
2009,Kings Xi Punjab,6s,Batting,4.357142857
2010,Kings Xi Punjab,6s,Batting,4
2011,Kings Xi Punjab,6s,Batting,3.142857143
2012,Kings Xi Punjab,6s,Batting,4
2013,Kings Xi Punjab,6s,Batting,4.0625
2008,Kings Xi Punjab,50s,Batting,0.933333333
2009,Kings Xi Punjab,50s,Batting,0.5
2010,Kings Xi Punjab,50s,Batting,0.642857143
2011,Kings Xi Punjab,50s,Batting,0.714285714
2012,Kings Xi Punjab,50s,Batting,0.571428571
2013,Kings Xi Punjab,50s,Batting,0.625
2008,Kings Xi Punjab,RunsScored,Batting,153.8
2009,Kings Xi Punjab,RunsScored,Batting,125.8571429
2010,Kings Xi Punjab,RunsScored,Batting,149.9285714
2011,Kings Xi Punjab,RunsScored,Batting,125.7857143
2012,Kings Xi Punjab,RunsScored,Batting,157.1428571
2013,Kings Xi Punjab,RunsScored,Batting,143.4375
2008,Kings Xi Punjab,BallsFaced,Batting,109.7333333
2009,Kings Xi Punjab,BallsFaced,Batting,111.5714286
2010,Kings Xi Punjab,BallsFaced,Batting,114.2142857
2011,Kings Xi Punjab,BallsFaced,Batting,115.7142857
2012,Kings Xi Punjab,BallsFaced,Batting,129.0714286
2013,Kings Xi Punjab,BallsFaced,Batting,111.6875
2008,Kings Xi Punjab,BowlingEconomy,Bowling,8.585783402
2009,Kings Xi Punjab,BowlingEconomy,Bowling,7.10770472
2010,Kings Xi Punjab,BowlingEconomy,Bowling,8.680727874
2011,Kings Xi Punjab,BowlingEconomy,Bowling,7.075130575
2012,Kings Xi Punjab,BowlingEconomy,Bowling,7.360321178
2013,Kings Xi Punjab,BowlingEconomy,Bowling,7.963219986
2008,Kings Xi Punjab,Matches,Batting,15
2009,Kings Xi Punjab,Matches,Batting,14
2010,Kings Xi Punjab,Matches,Batting,14
2011,Kings Xi Punjab,Matches,Batting,14
2012,Kings Xi Punjab,Matches,Batting,14
2013,Kings Xi Punjab,Matches,Batting,16
2008,Kings Xi Punjab,NotOuts,Batting,2
2009,Kings Xi Punjab,NotOuts,Batting,2.090909091
2010,Kings Xi Punjab,NotOuts,Batting,1.545454545
2011,Kings Xi Punjab,NotOuts,Batting,1.818181818
2012,Kings Xi Punjab,NotOuts,Batting,2.181818182
2013,Kings Xi Punjab,NotOuts,Batting,2
2008,Kings Xi Punjab,TotalWickets,Bowling,80
2009,Kings Xi Punjab,TotalWickets,Bowling,71
2010,Kings Xi Punjab,TotalWickets,Bowling,60
2011,Kings Xi Punjab,TotalWickets,Bowling,78
2012,Kings Xi Punjab,TotalWickets,Bowling,86
2013,Kings Xi Punjab,TotalWickets,Bowling,75
2008,Kings Xi Punjab,WicketsPerMatch,Bowling,5.333333333
2009,Kings Xi Punjab,WicketsPerMatch,Bowling,5.071428571
2010,Kings Xi Punjab,WicketsPerMatch,Bowling,4.285714286
2011,Kings Xi Punjab,WicketsPerMatch,Bowling,5.571428571
2012,Kings Xi Punjab,WicketsPerMatch,Bowling,6.142857143
2013,Kings Xi Punjab,WicketsPerMatch,Bowling,4.6875
2008,Kings Xi Punjab,WicketsPerOver,Bowling,0.29772981
2009,Kings Xi Punjab,WicketsPerOver,Bowling,0.286405809
2010,Kings Xi Punjab,WicketsPerOver,Bowling,0.248138958
2011,Kings Xi Punjab,WicketsPerOver,Bowling,0.313378867
2012,Kings Xi Punjab,WicketsPerOver,Bowling,0.287721646
2013,Kings Xi Punjab,WicketsPerOver,Bowling,0.260235947
2008,Kings Xi Punjab,StrikeRate,Batting,133.25
2009,Kings Xi Punjab,StrikeRate,Batting,104.37
2010,Kings Xi Punjab,StrikeRate,Batting,123.2
2011,Kings Xi Punjab,StrikeRate,Batting,100.83
2012,Kings Xi Punjab,StrikeRate,Batting,125
2013,Kings Xi Punjab,StrikeRate,Batting,128.74
2011,Kochi Tuskers Kerala,MatchesWon,Batting,6
2011,Kochi Tuskers Kerala,100s,Batting,0
2011,Kochi Tuskers Kerala,4s,Batting,9
2011,Kochi Tuskers Kerala,6s,Batting,3.571428571
2011,Kochi Tuskers Kerala,50s,Batting,0.357142857
2011,Kochi Tuskers Kerala,RunsScored,Batting,117.0714286
2011,Kochi Tuskers Kerala,BallsFaced,Batting,99.64285714
2011,Kochi Tuskers Kerala,BowlingEconomy,Bowling,6.445143531
2011,Kochi Tuskers Kerala,Matches,Batting,14
2011,Kochi Tuskers Kerala,NotOuts,Batting,1.454545455
2011,Kochi Tuskers Kerala,TotalWickets,Bowling,62
2011,Kochi Tuskers Kerala,WicketsPerMatch,Bowling,4.428571429
2011,Kochi Tuskers Kerala,WicketsPerOver,Bowling,0.243806528
2011,Kochi Tuskers Kerala,StrikeRate,Batting,111.04
2019,Kolkata Knight Riders,Matches,Matches,14
2018,Kolkata Knight Riders,Matches,Matches,16
2017,Kolkata Knight Riders,Matches,Matches,16
2016,Kolkata Knight Riders,Matches,Matches,15
2015,Kolkata Knight Riders,Matches,Matches,14
2014,Kolkata Knight Riders,Matches,Matches,16
2019,Kolkata Knight Riders,BowlingEconomy,Bowling,8.946171342
2018,Kolkata Knight Riders,BowlingEconomy,Bowling,8.974867725
2017,Kolkata Knight Riders,BowlingEconomy,Bowling,8.255813953
2016,Kolkata Knight Riders,BowlingEconomy,Bowling,7.997847147
2015,Kolkata Knight Riders,BowlingEconomy,Bowling,8.172302738
2014,Kolkata Knight Riders,BowlingEconomy,Bowling,7.5213405
2019,Kolkata Knight Riders,WicketsPerOver,Bowling,0.204700531
2018,Kolkata Knight Riders,WicketsPerOver,Bowling,0.304232804
2017,Kolkata Knight Riders,WicketsPerOver,Bowling,0.302325581
2016,Kolkata Knight Riders,WicketsPerOver,Bowling,0.290635091
2015,Kolkata Knight Riders,WicketsPerOver,Bowling,0.281803543
2014,Kolkata Knight Riders,WicketsPerOver,Bowling,0.262409105
2019,Kolkata Knight Riders,TotalWickets,Bowling,54
2018,Kolkata Knight Riders,TotalWickets,Bowling,92
2017,Kolkata Knight Riders,TotalWickets,Bowling,91
2016,Kolkata Knight Riders,TotalWickets,Bowling,81
2015,Kolkata Knight Riders,TotalWickets,Bowling,70
2014,Kolkata Knight Riders,TotalWickets,Bowling,83
2019,Kolkata Knight Riders,WicketsPerMatch,Bowling,3.857142857
2018,Kolkata Knight Riders,WicketsPerMatch,Bowling,5.75
2017,Kolkata Knight Riders,WicketsPerMatch,Bowling,5.6875
2016,Kolkata Knight Riders,WicketsPerMatch,Bowling,5.4
2015,Kolkata Knight Riders,WicketsPerMatch,Bowling,5
2014,Kolkata Knight Riders,WicketsPerMatch,Bowling,5.1875
2019,Kolkata Knight Riders,Innings,Batting,8.818181818
2018,Kolkata Knight Riders,Innings,Batting,10.41666667
2017,Kolkata Knight Riders,Innings,Batting,8.230769231
2016,Kolkata Knight Riders,Innings,Batting,7.916666667
2015,Kolkata Knight Riders,Innings,Batting,8.818181818
2014,Kolkata Knight Riders,Innings,Batting,9.727272727
2019,Kolkata Knight Riders,NotOuts,Batting,2
2018,Kolkata Knight Riders,NotOuts,Batting,2
2017,Kolkata Knight Riders,NotOuts,Batting,1.615384615
2016,Kolkata Knight Riders,NotOuts,Batting,1.75
2015,Kolkata Knight Riders,NotOuts,Batting,2
2014,Kolkata Knight Riders,NotOuts,Batting,2.363636364
2019,Kolkata Knight Riders,HighScore ,Batting,212.2727273
2018,Kolkata Knight Riders,HighScore ,Batting,219
2017,Kolkata Knight Riders,HighScore ,Batting,178.9230769
2016,Kolkata Knight Riders,HighScore ,Batting,176.6666667
2015,Kolkata Knight Riders,HighScore ,Batting,174.7272727
2014,Kolkata Knight Riders,HighScore ,Batting,214.2727273
2019,Kolkata Knight Riders,RunsScored,Batting,166.7857143
2018,Kolkata Knight Riders,RunsScored,Batting,164.25
2017,Kolkata Knight Riders,RunsScored,Batting,145.375
2016,Kolkata Knight Riders,RunsScored,Batting,141.3333333
2015,Kolkata Knight Riders,RunsScored,Batting,137.2857143
2014,Kolkata Knight Riders,RunsScored,Batting,147.3125
2019,Kolkata Knight Riders,BallsFaced,Batting,114.6428571
2018,Kolkata Knight Riders,BallsFaced,Batting,114.25
2017,Kolkata Knight Riders,BallsFaced,Batting,104.4375
2016,Kolkata Knight Riders,BallsFaced,Batting,107.6666667
2015,Kolkata Knight Riders,BallsFaced,Batting,100
2014,Kolkata Knight Riders,BallsFaced,Batting,111.875
2019,Kolkata Knight Riders,StrikeRate,Batting,138.6490909
2018,Kolkata Knight Riders,StrikeRate,Batting,129.1166667
2017,Kolkata Knight Riders,StrikeRate,Batting,128.3223077
2016,Kolkata Knight Riders,StrikeRate,Batting,122.9208333
2015,Kolkata Knight Riders,StrikeRate,Batting,148.7045455
2014,Kolkata Knight Riders,StrikeRate,Batting,131.7754545
2019,Kolkata Knight Riders,100s,Batting,0
2018,Kolkata Knight Riders,100s,Batting,0
2017,Kolkata Knight Riders,100s,Batting,0
2016,Kolkata Knight Riders,100s,Batting,0
2015,Kolkata Knight Riders,100s,Batting,0
2014,Kolkata Knight Riders,100s,Batting,0
2019,Kolkata Knight Riders,50s,Batting,1.214285714
2018,Kolkata Knight Riders,50s,Batting,0.6875
2017,Kolkata Knight Riders,50s,Batting,1
2016,Kolkata Knight Riders,50s,Batting,1
2015,Kolkata Knight Riders,50s,Batting,0.571428571
2014,Kolkata Knight Riders,50s,Batting,0.8125
2019,Kolkata Knight Riders,4s,Batting,13.85714286
2018,Kolkata Knight Riders,4s,Batting,15.6875
2017,Kolkata Knight Riders,4s,Batting,14.0625
2016,Kolkata Knight Riders,4s,Batting,13
2015,Kolkata Knight Riders,4s,Batting,14.64285714
2014,Kolkata Knight Riders,4s,Batting,13.9375
2019,Kolkata Knight Riders,6s,Batting,10.14285714
2018,Kolkata Knight Riders,6s,Batting,8.0625
2017,Kolkata Knight Riders,6s,Batting,5.4375
2016,Kolkata Knight Riders,6s,Batting,4.266666667
2015,Kolkata Knight Riders,6s,Batting,4.571428571
2014,Kolkata Knight Riders,6s,Batting,4.75
2019,Kolkata Knight Riders,MatchesWon,Batting,6
2018,Kolkata Knight Riders,MatchesWon,Batting,9
2017,Kolkata Knight Riders,MatchesWon,Batting,8
2016,Kolkata Knight Riders,MatchesWon,Batting,8
2015,Kolkata Knight Riders,MatchesWon,Batting,7
2014,Kolkata Knight Riders,MatchesWon,Batting,11
2008,Kolkata Knight Riders,MatchesWon,Batting,6
2009,Kolkata Knight Riders,MatchesWon,Batting,3
2010,Kolkata Knight Riders,MatchesWon,Batting,7
2011,Kolkata Knight Riders,MatchesWon,Batting,9
2012,Kolkata Knight Riders,MatchesWon,Batting,12
2013,Kolkata Knight Riders,MatchesWon,Batting,6
2008,Kolkata Knight Riders,100s,Batting,0.076923077
2009,Kolkata Knight Riders,100s,Batting,0
2010,Kolkata Knight Riders,100s,Batting,0
2011,Kolkata Knight Riders,100s,Batting,0
2012,Kolkata Knight Riders,100s,Batting,0
2013,Kolkata Knight Riders,100s,Batting,0
2008,Kolkata Knight Riders,4s,Batting,11.76923077
2009,Kolkata Knight Riders,4s,Batting,9.153846154
2010,Kolkata Knight Riders,4s,Batting,14.14285714
2011,Kolkata Knight Riders,4s,Batting,12.2
2012,Kolkata Knight Riders,4s,Batting,12.17647059
2013,Kolkata Knight Riders,4s,Batting,13.375
2008,Kolkata Knight Riders,6s,Batting,5.384615385
2009,Kolkata Knight Riders,6s,Batting,4.230769231
2010,Kolkata Knight Riders,6s,Batting,4.5
2011,Kolkata Knight Riders,6s,Batting,2.933333333
2012,Kolkata Knight Riders,6s,Batting,4
2013,Kolkata Knight Riders,6s,Batting,3.25
2008,Kolkata Knight Riders,50s,Batting,0.538461538
2009,Kolkata Knight Riders,50s,Batting,0.384615385
2010,Kolkata Knight Riders,50s,Batting,0.857142857
2011,Kolkata Knight Riders,50s,Batting,0.6
2012,Kolkata Knight Riders,50s,Batting,0.647058824
2013,Kolkata Knight Riders,50s,Batting,0.5
2008,Kolkata Knight Riders,RunsScored,Batting,107.8461538
2009,Kolkata Knight Riders,RunsScored,Batting,113.6923077
2010,Kolkata Knight Riders,RunsScored,Batting,140.2857143
2011,Kolkata Knight Riders,RunsScored,Batting,121.2
2012,Kolkata Knight Riders,RunsScored,Batting,136.7058824
2013,Kolkata Knight Riders,RunsScored,Batting,126
2008,Kolkata Knight Riders,BallsFaced,Batting,106.1538462
2009,Kolkata Knight Riders,BallsFaced,Batting,100.5384615
2010,Kolkata Knight Riders,BallsFaced,Batting,102.8571429
2011,Kolkata Knight Riders,BallsFaced,Batting,103.4
2012,Kolkata Knight Riders,BallsFaced,Batting,113.2352941
2013,Kolkata Knight Riders,BallsFaced,Batting,108.625
2008,Kolkata Knight Riders,BowlingEconomy,Bowling,6.746871992
2009,Kolkata Knight Riders,BowlingEconomy,Bowling,6.062346185
2010,Kolkata Knight Riders,BowlingEconomy,Bowling,7.890719164
2011,Kolkata Knight Riders,BowlingEconomy,Bowling,6.546633057
2012,Kolkata Knight Riders,BowlingEconomy,Bowling,7.113559841
2013,Kolkata Knight Riders,BowlingEconomy,Bowling,6.697674419
2008,Kolkata Knight Riders,Matches,Batting,13
2009,Kolkata Knight Riders,Matches,Batting,13
2010,Kolkata Knight Riders,Matches,Batting,14
2011,Kolkata Knight Riders,Matches,Batting,15
2012,Kolkata Knight Riders,Matches,Batting,17
2013,Kolkata Knight Riders,Matches,Batting,16
2008,Kolkata Knight Riders,NotOuts,Batting,1.363636364
2009,Kolkata Knight Riders,NotOuts,Batting,1.545454545
2010,Kolkata Knight Riders,NotOuts,Batting,1.363636364
2011,Kolkata Knight Riders,NotOuts,Batting,1.454545455
2012,Kolkata Knight Riders,NotOuts,Batting,2.545454545
2013,Kolkata Knight Riders,NotOuts,Batting,1.454545455
2008,Kolkata Knight Riders,TotalWickets,Bowling,60
2009,Kolkata Knight Riders,TotalWickets,Bowling,52
2010,Kolkata Knight Riders,TotalWickets,Bowling,65
2011,Kolkata Knight Riders,TotalWickets,Bowling,76
2012,Kolkata Knight Riders,TotalWickets,Bowling,95
2013,Kolkata Knight Riders,TotalWickets,Bowling,86
2008,Kolkata Knight Riders,WicketsPerMatch,Bowling,4.615384615
2009,Kolkata Knight Riders,WicketsPerMatch,Bowling,4
2010,Kolkata Knight Riders,WicketsPerMatch,Bowling,4.642857143
2011,Kolkata Knight Riders,WicketsPerMatch,Bowling,5.066666667
2012,Kolkata Knight Riders,WicketsPerMatch,Bowling,5.588235294
2013,Kolkata Knight Riders,WicketsPerMatch,Bowling,5.375
2008,Kolkata Knight Riders,WicketsPerOver,Bowling,0.288739172
2009,Kolkata Knight Riders,WicketsPerOver,Bowling,0.213289582
2010,Kolkata Knight Riders,WicketsPerOver,Bowling,0.261149056
2011,Kolkata Knight Riders,WicketsPerOver,Bowling,0.273676629
2012,Kolkata Knight Riders,WicketsPerOver,Bowling,0.290786654
2013,Kolkata Knight Riders,WicketsPerOver,Bowling,0.285714286
2008,Kolkata Knight Riders,StrikeRate,Batting,128.09
2009,Kolkata Knight Riders,StrikeRate,Batting,112.71
2010,Kolkata Knight Riders,StrikeRate,Batting,121.77
2011,Kolkata Knight Riders,StrikeRate,Batting,117.66
2012,Kolkata Knight Riders,StrikeRate,Batting,120
2013,Kolkata Knight Riders,StrikeRate,Batting,114
2019,Mumbai Indians,Matches,Matches,16
2018,Mumbai Indians,Matches,Matches,14
2017,Mumbai Indians,Matches,Matches,17
2016,Mumbai Indians,Matches,Matches,14
2015,Mumbai Indians,Matches,Matches,16
2014,Mumbai Indians,Matches,Matches,15
2019,Mumbai Indians,BowlingEconomy,Bowling,8.068035944
2018,Mumbai Indians,BowlingEconomy,Bowling,8.170197224
2017,Mumbai Indians,BowlingEconomy,Bowling,7.808594941
2016,Mumbai Indians,BowlingEconomy,Bowling,7.904540163
2015,Mumbai Indians,BowlingEconomy,Bowling,8.519820972
2014,Mumbai Indians,BowlingEconomy,Bowling,7.773707774
2019,Mumbai Indians,WicketsPerOver,Bowling,0.295250321
2018,Mumbai Indians,WicketsPerOver,Bowling,0.310445581
2017,Mumbai Indians,WicketsPerOver,Bowling,0.301737275
2016,Mumbai Indians,WicketsPerOver,Bowling,0.240589833
2015,Mumbai Indians,WicketsPerOver,Bowling,0.274936061
2014,Mumbai Indians,WicketsPerOver,Bowling,0.256410256
2019,Mumbai Indians,TotalWickets,Bowling,92
2018,Mumbai Indians,TotalWickets,Bowling,85
2017,Mumbai Indians,TotalWickets,Bowling,99
2016,Mumbai Indians,TotalWickets,Bowling,62
2015,Mumbai Indians,TotalWickets,Bowling,86
2014,Mumbai Indians,TotalWickets,Bowling,63
2019,Mumbai Indians,WicketsPerMatch,Bowling,5.75
2018,Mumbai Indians,WicketsPerMatch,Bowling,6.071428571
2017,Mumbai Indians,WicketsPerMatch,Bowling,5.823529412
2016,Mumbai Indians,WicketsPerMatch,Bowling,4.428571429
2015,Mumbai Indians,WicketsPerMatch,Bowling,5.375
2014,Mumbai Indians,WicketsPerMatch,Bowling,4.2
2019,Mumbai Indians,Innings,Batting,8.357142857
2018,Mumbai Indians,Innings,Batting,10.3
2017,Mumbai Indians,Innings,Batting,9
2016,Mumbai Indians,Innings,Batting,8
2015,Mumbai Indians,Innings,Batting,8.615384615
2014,Mumbai Indians,Innings,Batting,9
2019,Mumbai Indians,NotOuts,Batting,1.857142857
2018,Mumbai Indians,NotOuts,Batting,1.9
2017,Mumbai Indians,NotOuts,Batting,2.066666667
2016,Mumbai Indians,NotOuts,Batting,1.846153846
2015,Mumbai Indians,NotOuts,Batting,2.076923077
2014,Mumbai Indians,NotOuts,Batting,1.916666667
2019,Mumbai Indians,HighScore ,Batting,181.4285714
2018,Mumbai Indians,HighScore ,Batting,222.9
2017,Mumbai Indians,HighScore ,Batting,173.8666667
2016,Mumbai Indians,HighScore ,Batting,159.4615385
2015,Mumbai Indians,HighScore ,Batting,200.3076923
2014,Mumbai Indians,HighScore ,Batting,185.5
2019,Mumbai Indians,RunsScored,Batting,158.75
2018,Mumbai Indians,RunsScored,Batting,159.2142857
2017,Mumbai Indians,RunsScored,Batting,153.4117647
2016,Mumbai Indians,RunsScored,Batting,148.0714286
2015,Mumbai Indians,RunsScored,Batting,162.75
2014,Mumbai Indians,RunsScored,Batting,148.4
2019,Mumbai Indians,BallsFaced,Batting,117
2018,Mumbai Indians,BallsFaced,Batting,116.6428571
2017,Mumbai Indians,BallsFaced,Batting,115.0588235
2016,Mumbai Indians,BallsFaced,Batting,112.9285714
2015,Mumbai Indians,BallsFaced,Batting,117
2014,Mumbai Indians,BallsFaced,Batting,115.4666667
2019,Mumbai Indians,StrikeRate,Batting,121.4957143
2018,Mumbai Indians,StrikeRate,Batting,130.876
2017,Mumbai Indians,StrikeRate,Batting,127.008
2016,Mumbai Indians,StrikeRate,Batting,129.1230769
2015,Mumbai Indians,StrikeRate,Batting,139.5584615
2014,Mumbai Indians,StrikeRate,Batting,122.845
2019,Mumbai Indians,100s,Batting,0
2018,Mumbai Indians,100s,Batting,0
2017,Mumbai Indians,100s,Batting,0
2016,Mumbai Indians,100s,Batting,0
2015,Mumbai Indians,100s,Batting,0
2014,Mumbai Indians,100s,Batting,0.066666667
2019,Mumbai Indians,50s,Batting,0.6875
2018,Mumbai Indians,50s,Batting,0.857142857
2017,Mumbai Indians,50s,Batting,0.941176471
2016,Mumbai Indians,50s,Batting,0.785714286
2015,Mumbai Indians,50s,Batting,1.1875
2014,Mumbai Indians,50s,Batting,0.8
2019,Mumbai Indians,4s,Batting,14.3125
2018,Mumbai Indians,4s,Batting,14.42857143
2017,Mumbai Indians,4s,Batting,13.17647059
2016,Mumbai Indians,4s,Batting,13.14285714
2015,Mumbai Indians,4s,Batting,15.0625
2014,Mumbai Indians,4s,Batting,13.13333333
2019,Mumbai Indians,6s,Batting,7.1875
2018,Mumbai Indians,6s,Batting,7.571428571
2017,Mumbai Indians,6s,Batting,6.764705882
2016,Mumbai Indians,6s,Batting,6.5
2015,Mumbai Indians,6s,Batting,7.5
2014,Mumbai Indians,6s,Batting,5.733333333
2019,Mumbai Indians,MatchesWon,Batting,11
2018,Mumbai Indians,MatchesWon,Batting,6
2017,Mumbai Indians,MatchesWon,Batting,12
2016,Mumbai Indians,MatchesWon,Batting,7
2015,Mumbai Indians,MatchesWon,Batting,10
2014,Mumbai Indians,MatchesWon,Batting,8
2008,Mumbai Indians,MatchesWon,Batting,7
2009,Mumbai Indians,MatchesWon,Batting,5
2010,Mumbai Indians,MatchesWon,Batting,11
2011,Mumbai Indians,MatchesWon,Batting,9
2012,Mumbai Indians,MatchesWon,Batting,10
2013,Mumbai Indians,MatchesWon,Batting,13
2008,Mumbai Indians,100s,Batting,0.071428571
2009,Mumbai Indians,100s,Batting,0
2010,Mumbai Indians,100s,Batting,0
2011,Mumbai Indians,100s,Batting,0.0625
2012,Mumbai Indians,100s,Batting,0.058823529
2013,Mumbai Indians,100s,Batting,0
2008,Mumbai Indians,4s,Batting,13.35714286
2009,Mumbai Indians,4s,Batting,11
2010,Mumbai Indians,4s,Batting,17.13333333
2011,Mumbai Indians,4s,Batting,13.6875
2012,Mumbai Indians,4s,Batting,12.70588235
2013,Mumbai Indians,4s,Batting,11.05263158
2008,Mumbai Indians,6s,Batting,5
2009,Mumbai Indians,6s,Batting,4.153846154
2010,Mumbai Indians,6s,Batting,5
2011,Mumbai Indians,6s,Batting,3.4375
2012,Mumbai Indians,6s,Batting,4.588235294
2013,Mumbai Indians,6s,Batting,6.105263158
2008,Mumbai Indians,50s,Batting,0.285714286
2009,Mumbai Indians,50s,Batting,1
2010,Mumbai Indians,50s,Batting,0.8
2011,Mumbai Indians,50s,Batting,0.625
2012,Mumbai Indians,50s,Batting,0.764705882
2013,Mumbai Indians,50s,Batting,0.789473684
2008,Mumbai Indians,RunsScored,Batting,125.6428571
2009,Mumbai Indians,RunsScored,Batting,133
2010,Mumbai Indians,RunsScored,Batting,168.2
2011,Mumbai Indians,RunsScored,Batting,130.5
2012,Mumbai Indians,RunsScored,Batting,134.3529412
2013,Mumbai Indians,RunsScored,Batting,147.5789474
2008,Mumbai Indians,BallsFaced,Batting,96.42857143
2009,Mumbai Indians,BallsFaced,Batting,103.0769231
2010,Mumbai Indians,BallsFaced,Batting,125.4666667
2011,Mumbai Indians,BallsFaced,Batting,111.3125
2012,Mumbai Indians,BallsFaced,Batting,111.4117647
2013,Mumbai Indians,BallsFaced,Batting,116.0526316
2008,Mumbai Indians,BowlingEconomy,Bowling,6.783648284
2009,Mumbai Indians,BowlingEconomy,Bowling,6.966156326
2010,Mumbai Indians,BowlingEconomy,Bowling,8.274844211
2011,Mumbai Indians,BowlingEconomy,Bowling,7.831957989
2012,Mumbai Indians,BowlingEconomy,Bowling,7.110834371
2013,Mumbai Indians,BowlingEconomy,Bowling,7.858744395
2008,Mumbai Indians,Matches,Batting,14
2009,Mumbai Indians,Matches,Batting,13
2010,Mumbai Indians,Matches,Batting,15
2011,Mumbai Indians,Matches,Batting,16
2012,Mumbai Indians,Matches,Batting,17
2013,Mumbai Indians,Matches,Batting,19
2008,Mumbai Indians,NotOuts,Batting,1.272727273
2009,Mumbai Indians,NotOuts,Batting,1.272727273
2010,Mumbai Indians,NotOuts,Batting,2.181818182
2011,Mumbai Indians,NotOuts,Batting,2.272727273
2012,Mumbai Indians,NotOuts,Batting,2
2013,Mumbai Indians,NotOuts,Batting,2.636363636
2008,Mumbai Indians,TotalWickets,Bowling,83
2009,Mumbai Indians,TotalWickets,Bowling,71
2010,Mumbai Indians,TotalWickets,Bowling,80
2011,Mumbai Indians,TotalWickets,Bowling,86
2012,Mumbai Indians,TotalWickets,Bowling,75
2013,Mumbai Indians,TotalWickets,Bowling,117
2008,Mumbai Indians,WicketsPerMatch,Bowling,5.928571429
2009,Mumbai Indians,WicketsPerMatch,Bowling,5.461538462
2010,Mumbai Indians,WicketsPerMatch,Bowling,5.333333333
2011,Mumbai Indians,WicketsPerMatch,Bowling,5.375
2012,Mumbai Indians,WicketsPerMatch,Bowling,4.411764706
2013,Mumbai Indians,WicketsPerMatch,Bowling,6.157894737
2008,Mumbai Indians,WicketsPerOver,Bowling,0.320092557
2009,Mumbai Indians,WicketsPerOver,Bowling,0.286059629
2010,Mumbai Indians,WicketsPerOver,Bowling,0.262381109
2011,Mumbai Indians,WicketsPerOver,Bowling,0.322580645
2012,Mumbai Indians,WicketsPerOver,Bowling,0.233499377
2013,Mumbai Indians,WicketsPerOver,Bowling,0.327914798
2008,Mumbai Indians,StrikeRate,Batting,123.7
2009,Mumbai Indians,StrikeRate,Batting,115.65
2010,Mumbai Indians,StrikeRate,Batting,125.13
2011,Mumbai Indians,StrikeRate,Batting,121.1
2012,Mumbai Indians,StrikeRate,Batting,119.46
2013,Mumbai Indians,StrikeRate,Batting,124.62
2011,Pune Warriors India,100s,Batting,0
2012,Pune Warriors India,100s,Batting,0
2013,Pune Warriors India,100s,Batting,0
2011,Pune Warriors India,4s,Batting,10.78571429
2012,Pune Warriors India,4s,Batting,12.57142857
